Dia,Modalidade,Horário (Brasília),Local,Evento,Gênero
24/7,Rugby Sevens,10:30,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,11:00,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,11:30,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,12:00,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,12:30,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,13:00,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,14:00,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,14:30,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,15:00,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,15:30,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,16:00,Stade de France,Fase Preliminar,U
24/7,Rugby Sevens,16:30,Stade de France,Fase Preliminar,U
24/7,Futebol,10:00,Parc des Princes,AFC 2 - Espanha ,M
24/7,Futebol,10:00,Estádio Geoffroy-Guichard,Argentinha - Marrocos,M
24/7,Futebol,12:00,Estádio La Beaujoire,Egito - República Dominicana,M
24/7,Futebol,12:00,Estádio de Nice,Vencedor ICP - Nova Zelândia,M
24/7,Futebol,14:00,Estádio Bordeaux,AFC 1 - Paraguai,M
24/7,Futebol,14:00,Estádio de Lyon,AFC 3 - Ucrânia,M
24/7,Futebol,16:00,Parc des Princes,Mali - Israel,M
24/7,Futebol,16:00,Estádio de Marselha,França - EUA,M
25/07/24,Futebol,12:00,Estádio La Beaujoire,Espanha - Japão,F
25/07/24,Futebol,12:00,Estádio Geoffroy-Guichard,Canadá - Nova Zelândia,F
25/07/24,Futebol,14:00,Estádio Bordeaux,CAF 1 - Brasil,F
25/07/24,Futebol,14:00,Estádio de Marselha,Alemanha - Austrália,F
25/07/24,Futebol,16:00,Estádio de Lyon,França - Colômbia,F
25/07/24,Futebol,16:00,Estádio de Nice,EUA - CAF 2,F
25/07/24,Handebol,04:00,Arena 6 Paris Sul,Eslovênia - Dinamarca,F
25/07/24,Handebol,06:00,Arena 6 Paris Sul,Países Baixos - Angola,F
25/07/24,Handebol,09:00,Arena 6 Paris Sul,Espanha - Brasil,F
25/07/24,Handebol,11:00,Arena 6 Paris Sul,Alemanha - República da Coréia,F
25/07/24,Handebol,14:00,Arena 6 Paris Sul,Hungria - França,F
25/07/24,Handebol,16:00,Arena 6 Paris Sul,Noruega - Suécia,F
25/07/24,Rugby Sevens,09:00,Stade de France,Fase Preliminar,M
25/07/24,Rugby Sevens,09:30,Stade de France,Fase Preliminar,M
25/07/24,Rugby Sevens,10:00,Stade de France,Fase Preliminar,M
25/07/24,Rugby Sevens,10:30,Stade de France,Fase Preliminar,M
25/07/24,Rugby Sevens,11:00,Stade de France,Fase Preliminar,M
25/07/24,Rugby Sevens,11:30,Stade de France,Fase Preliminar,M
25/07/24,Rugby Sevens,15:00,Stade de France,Colocação 9º - 12º lugar,M
25/07/24,Rugby Sevens,15:30,Stade de France,Colocação 9º - 12º lugar,M
25/07/24,Rugby Sevens,16:00,Stade de France,Quartas de final,M
25/07/24,Rugby Sevens,16:30,Stade de France,Quartas de final,M
25/07/24,Rugby Sevens,17:00,Stade de France,Quartas de final,M
25/07/24,Rugby Sevens,17:30,Stade de France,Quartas de final,M
25/07/24,Tiro com Arco,04:30,Invalides,Fase de Classificação, F
25/07/24,Tiro com Arco,09:15,Invalides,Fase de Classificação, M
26/07/24,Cerimônia de Abertura,14:30,Estádio de France,Cerimônia de Abertura da Olimpíada,U
28/7,Badminton,03:30,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,03:30,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,03:30,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,04:20,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,04:20,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,04:20,La Chapelle,Duplas Masculinas - Fase de Grupos,M
28/7,Badminton,05:10,La Chapelle,Duplas Masculinas - Fase de Grupos,M
28/7,Badminton,05:10,La Chapelle,Duplas Femininas - Fase de Grupos,F
28/7,Badminton,05:10,La Chapelle,Duplas Femininas - Fase de Grupos,F
28/7,Badminton,06:00,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,06:00,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,06:00,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,09:00,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,09:00,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,09:00,La Chapelle,Duplas Masculinas - Fase de Grupos,M
28/7,Badminton,09:50,La Chapelle,Duplas Femininas - Fase de Grupos,F
28/7,Badminton,09:50,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,09:50,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,10:40,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,10:40,La Chapelle,Simples Feminino - Fase de Grupos,F
28/7,Badminton,10:40,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,11:30,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,11:30,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,11:30,La Chapelle,Simples Masculino - Fase de grupos,M
28/7,Badminton,14:30,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,14:30,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,14:30,La Chapelle,Duplas Mistas - Fase de Grupos,U
28/7,Badminton,15:20,La Chapelle,Duplas Mistas - Fase de Grupos,U
